tweet_id,fav_count,retweet_count
666020888022790149,2424,464
666029285002620928,121,42
666033412701032449,112,41
666044226329800704,273,132
666049248165822465,96,40
666050758794694657,124,51
666051853826850816,1129,781
666055525042405380,411,221
666057090499244032,270,127
666058600524156928,105,54
666063827256086533,450,198
666071193221509120,136,53
666073100786774016,298,147
666082916733198337,103,41
666094000022159362,154,67
666099513787052032,143,60
666102155909144576,72,11
666104133288665088,13708,6010
666268910803644416,95,32
666273097616637952,161,73
666287406224695296,138,62
666293911632134144,469,322
666337882303524864,182,84
666345417576210432,275,128
666353288456101888,200,66
666362758909284353,729,521
666373753744588802,174,85
666396247373291520,159,76
666407126856765440,100,32
666411507551481857,414,302
666418789513326592,115,42
666421158376562688,301,107
666428276349472768,155,78
666430724426358785,301,179
666435652385423360,159,48
666437273139982337,117,42
666447344410484738,98,18
666454714377183233,493,201
666644823164719104,221,76
666649482315059201,1069,586
666691418707132416,177,45
666701168228331520,409,207
666739327293083650,223,62
666776908487630848,331,164
666781792255496192,366,181
666786068205871104,719,463
666804364988780544,222,85
666817836334096384,491,238
666826780179869698,242,88
666835007768551424,202,77
666837028449972224,769,528
666983947667116034,2440,929
666996132027977728,232,84
667012601033924608,429,211
667044094246576128,176,47
667062181243039745,210,49
667065535570550784,161,42
667073648344346624,379,113
667090893657276420,318,118
667119796878725120,319,123
667138269671505920,4387,2086
667152164079423490,45748,16134
667160273090932737,248,60
667165590075940865,2578,1076
667171260800061440,212,80
667174963120574464,233,74
667176164155375616,583,436
667177989038297088,184,51
667182792070062081,13731,5878
667188689915760640,717,381
667192066997374976,367,95
667200525029539841,592,249
667211855547486208,465,229
667369227918143488,351,154
667393430834667520,188,52
667405339315146752,449,213
667435689202614272,297,82
667437278097252352,434,225
667443425659232256,752,551
667453023279554560,298,85
667455448082227200,183,56
667470559035432960,246,90
667491009379606528,514,213
667495797102141441,503,254
667502640335572993,520,212
667509364010450944,6529,2029
667517642048163840,354,182
667524857454854144,1630,1068
667530908589760512,447,227
667534815156183040,788,498
667538891197542400,197,62
667544320556335104,829,501
667546741521195010,328,116
667549055577362432,5558,2163
667550882905632768,0,32
667550904950915073,0,33
667724302356258817,463,306
667728196545200128,365,143
667766675769573376,422,204
667773195014021121,226,52
667782464991965184,401,236
667793409583771648,678,315
667801013445750784,318,93
667806454573760512,1017,469
667832474953625600,287,60
667861340749471744,235,74
667866724293877760,2918,985
667873844930215936,606,386
667878741721415682,379,113
667885044254572545,792,452
667886921285246976,1802,1031
667902449697558528,826,362
667911425562669056,474,284
667915453470232577,199,54
667924896115245057,285,108
667937095915278337,1210,762
668113020489474048,646,225
668142349051129856,557,270
668154635664932864,479,296
668171859951755264,467,186
668190681446379520,625,191
668204964695683073,539,187
668221241640230912,498,187
668226093875376128,289,97
668237644992782336,5977,2720
668248472370458624,940,463
668256321989451776,1250,577
668268907921326080,538,227
668274247790391296,796,224
668286279830867968,484,131
668291999406125056,234,29
668297328638447616,604,285
668466899341221888,857,493
668480044826800133,443,142
668484198282485761,414,226
668496999348633600,394,126
668507509523615744,312,101
668528771708952576,445,214
668537837512433665,245,68
668542336805281792,438,204
668544745690562560,496,215
668567822092664832,235,50
668614819948453888,597,307
668620235289837568,192,38
668623201287675904,1376,724
668625577880875008,371,123
668627278264475648,307,109
668631377374486528,686,305
668633411083464705,2702,1553
668636665813057536,1010,476
668641109086707712,1036,525
668643542311546881,847,508
668645506898350081,850,512
668655139528511488,507,210
668779399630725120,682,353
668815180734689280,544,255
668826086256599040,422,130
668852170888998912,437,153
668872652652679168,511,289
668892474547511297,386,144
668902994700836864,309,97
668932921458302977,254,55
668955713004314625,268,68
668960084974809088,682,232
668975677807423489,1259,556
668979806671884288,771,334
668981893510119424,521,291
668986018524233728,537,159
668988183816871936,876,445
668989615043424256,657,318
668992363537309700,723,327
668994913074286592,426,218
669000397445533696,20218,6123
669006782128353280,559,238
669015743032369152,720,360
669037058363662336,633,299
669203728096960512,975,456
669214165781868544,426,154
669216679721873412,1157,393
669324657376567296,486,200
669327207240699904,558,114
669328503091937280,986,403
669351434509529089,420,173
669353438988365824,608,252
669354382627049472,2611,1231
669359674819481600,360,116
669363888236994561,601,219
669367896104181761,446,145
669371483794317312,479,170
669375718304980992,1286,700
669393256313184256,349,71
